id,ts_ms,ts_utc,symbol,kind,message,mark,funding_pct,oi,cvd_5m,basis_pct,taker_buy_pct_5m
109,1777063913158,2026-04-24T20:51:53.158000+00:00,sol-usdc,FLOW_CLUSTER,"BUY flow cluster @ 86.5915  x204  $1,288,956",86.765,-0.00142024,3203109.18,-291800.71113,-0.117420884801,6.59527587336
110,1777063941565,2026-04-24T20:52:21.565000+00:00,doge-usdc,FLOW_CLUSTER,"BUY flow cluster @ 0.0985  x83  $163,325",0.098502,0.00125,327846506,-16255.330785,-0.0334906378444,2.98289265173
111,1777064044651,2026-04-24T20:54:04.651000+00:00,icp-usdc,GRINDING_TRAP,px +0.27% 15m (1.4σ)  CVD -0.00M  fund +0.0013%  FΔ +0.0000%  OI +0.11% 15m,2.4791,0.00125,764248.8,-4.40217,-0.0967156961515,48.9879565038
112,1777064052832,2026-04-24T20:54:12.832000+00:00,eth-usdc,FLOW_CLUSTER,"SELL flow cluster @ 2,324.1000  x1172  $5,971,535",2324.1,4.191e-05,424836.2006,-1288102.57264,-0.109599638966,13.7717692994
113,1777064137963,2026-04-24T20:55:37.963000+00:00,icp-usdc,THIN_BOOK,impact excess 8.2bp over spread,2.4802,0.00125,764237.4,27.88136,-0.0926485397784,55.5813465603
114,1777064173430,2026-04-24T20:56:13.430000+00:00,btc-usdc,FLOW_CLUSTER,"BUY flow cluster @ 77,659.0000  x1549  $11,288,528",77659,0.00116446,27542.92806,8499352.73645,-0.0804153290917,98.4799482346
115,1777064195805,2026-04-24T20:56:35.805000+00:00,doge-usdc,THIN_BOOK,impact excess 8.6bp over spread,0.09853,0.00125,327865378,4375.901902,-0.0355095622178,86.7300783269
116,1777064210012,2026-04-24T20:56:50.012000+00:00,bnb-usdc,FLOW_CLUSTER,"BUY flow cluster @ 637.9800  x77  $28,224",637.98,0.00125,45762.634,1616.36711,-0.262639527249,97.8116066403
117,1777064213297,2026-04-24T20:56:53.297000+00:00,sol-usdc,FLOW_CLUSTER,"SELL flow cluster @ 86.2722  x594  $1,259,310",86.793,-0.00138951,3202036.4,-147995.62048,-0.112210195591,21.0115375226
118,1777064241809,2026-04-24T20:57:21.809000+00:00,doge-usdc,FLOW_CLUSTER,"BUY flow cluster @ 0.0985  x84  $106,703",0.09881,0.00125,327491602,85512.212898,-0.0354089736456,97.0103215115
119,1777064353073,2026-04-24T20:59:13.073000+00:00,eth-usdc,FLOW_CLUSTER,"SELL flow cluster @ 2,324.1735  x1430  $6,495,003",2326.5,5.006e-05,423140.055,3385212.01108,-0.100908173562,88.4500886458
120,1777064439768,2026-04-24T21:00:39.768000+00:00,icp-usdc,THIN_BOOK,impact excess 8.4bp over spread,2.48,0.00125,764209.8,33.77373,-0.0805801772764,61.2329182546
121,1777064472731,2026-04-24T21:01:12.731000+00:00,icp-usdc,GRINDING_TRAP,px +0.23% 15m (1.2σ)  CVD -0.00M  fund +0.0013%  FΔ +0.0000%  OI +0.00% 15m,2.479,0.00125,764209.8,-1.20978,-0.080612656187,49.4756056815
122,1777064473800,2026-04-24T21:01:13.800000+00:00,btc-usdc,FLOW_CLUSTER,"BUY flow cluster @ 77,670.0000  x1968  $12,790,273",77670,0.00125,27547.551,4497139.1154,-0.0842600870902,80.488132963
123,1777064510082,2026-04-24T21:01:50.082000+00:00,bnb-usdc,FLOW_CLUSTER,"SELL flow cluster @ 636.8038  x53  $28,853",638.08,0.00125,45766.532,1763.01862,-0.0117526306305,100
124,1777064513392,2026-04-24T21:01:53.392000+00:00,sol-usdc,FLOW_CLUSTER,"SELL flow cluster @ 86.7710  x693  $1,896,982",86.771,-0.00147557,3200489.48,-298845.99317,-0.0932621010455,21.7479496893
125,1777064541888,2026-04-24T21:02:21.888000+00:00,doge-usdc,FLOW_CLUSTER,"BUY flow cluster @ 0.0985  x143  $192,827",0.098862,0.00125,327707808,9536.314475,-0.0232593416595,67.9268923712
126,1777064606117,2026-04-24T21:03:26.117000+00:00,btc-usdc,GRINDING_TRAP,px +0.10% 15m (1.0σ)  CVD -0.82M  fund +0.0013%  FΔ +0.0002%  OI +0.28% 15m,77684,0.00125,27545.36568,-817911.18686,-0.0739630699176,31.5693002737
127,1777064653350,2026-04-24T21:04:13.350000+00:00,eth-usdc,FLOW_CLUSTER,"SELL flow cluster @ 2,323.2000  x1515  $7,444,836",2323.2,0.0003346,423104.431,-43111.38163,-0.118231260345,34.4436281524
128,1777064740076,2026-04-24T21:05:40.076000+00:00,icp-usdc,THIN_BOOK,impact excess 9.9bp over spread,2.4829,0.00125,765024.6,-976.24235,-0.0643992755082,4.76336990953
129,1777064773021,2026-04-24T21:06:13.021000+00:00,icp-usdc,GRINDING_TRAP,px +0.31% 15m (1.4σ)  CVD -0.00M  fund +0.0013%  FΔ +0.0000%  OI +0.10% 15m,2.4829,0.00125,765014.4,-946.92844,-0.0643992755082,7.28220334313
130,1777064774087,2026-04-24T21:06:14.087000+00:00,btc-usdc,FLOW_CLUSTER,"BUY flow cluster @ 77,615.3070  x3451  $16,363,577",77693,0.00125,27545.30144,403243.06497,-0.0919442676285,57.7330263934
